market_name,zip_code
Beaumont-Port Arthur,77615
Beaumont-Port Arthur,77616
Beaumont-Port Arthur,77619
Beaumont-Port Arthur,77622
Beaumont-Port Arthur,77624
Beaumont-Port Arthur,77625
Beaumont-Port Arthur,77626
Beaumont-Port Arthur,77627
Beaumont-Port Arthur,77629
Beaumont-Port Arthur,77630
Beaumont-Port Arthur,77631
Beaumont-Port Arthur,77632
Beaumont-Port Arthur,77639
Beaumont-Port Arthur,77640
Beaumont-Port Arthur,77641
Beaumont-Port Arthur,77642
Beaumont-Port Arthur,77643
Beaumont-Port Arthur,77651
Beaumont-Port Arthur,77655
Baton Rouge,39630
Baton Rouge,39631
Baton Rouge,39633
Baton Rouge,39638
Baton Rouge,39645
Beaumont-Port Arthur,77656
Beaumont-Port Arthur,77657
Beaumont-Port Arthur,77659
Beaumont-Port Arthur,77660
Beaumont-Port Arthur,77662
Beaumont-Port Arthur,77663
Beaumont-Port Arthur,77664
Beaumont-Port Arthur,77670
Beaumont-Port Arthur,77701
Beaumont-Port Arthur,77702
Beaumont-Port Arthur,77703
Beaumont-Port Arthur,77704
Beaumont-Port Arthur,77705
Beaumont-Port Arthur,77706
Beaumont-Port Arthur,77707
Beaumont-Port Arthur,77708
Beaumont-Port Arthur,77709
Birmingham-Ann-Tuscaloosa,35004
Birmingham-Ann-Tuscaloosa,35005
Birmingham-Ann-Tuscaloosa,35006
Birmingham-Ann-Tuscaloosa,35007
Birmingham-Ann-Tuscaloosa,35013
Baton Rouge,39647
Baton Rouge,39653
Baton Rouge,39661
Baton Rouge,39664
Baton Rouge,39669
Baton Rouge,70339
Baton Rouge,70340
Baton Rouge,70341
Baton Rouge,70342
Baton Rouge,70346
Baton Rouge,70372
Baton Rouge,70380
Bluefield-Beckley-Oak Hill,24316
Bluefield-Beckley-Oak Hill,24377
Bluefield-Beckley-Oak Hill,24601
Bluefield-Beckley-Oak Hill,24602
Bluefield-Beckley-Oak Hill,24604
Bluefield-Beckley-Oak Hill,24605
Beaumont-Port Arthur,77710
Birmingham-Ann-Tuscaloosa,35014
Birmingham-Ann-Tuscaloosa,35015
Birmingham-Ann-Tuscaloosa,35019
Birmingham-Ann-Tuscaloosa,35020
Birmingham-Ann-Tuscaloosa,35021
Birmingham-Ann-Tuscaloosa,35022
Birmingham-Ann-Tuscaloosa,35023
Birmingham-Ann-Tuscaloosa,35031
Birmingham-Ann-Tuscaloosa,35032
Birmingham-Ann-Tuscaloosa,35033
Birmingham-Ann-Tuscaloosa,35034
Baton Rouge,70381
Baton Rouge,70390
Baton Rouge,70391
Baton Rouge,70392
Baton Rouge,70393
Baton Rouge,70441
Baton Rouge,70449
Baton Rouge,70453
Baton Rouge,70462
Baton Rouge,70514
Baton Rouge,70522
Baton Rouge,70523
Bowling Green,42101
Bowling Green,42102
Bowling Green,42103
Bowling Green,42104
Bowling Green,42122
Bowling Green,42123
Bluefield-Beckley-Oak Hill,24606
Bluefield-Beckley-Oak Hill,24608
Bluefield-Beckley-Oak Hill,24609
Bluefield-Beckley-Oak Hill,24612
Bluefield-Beckley-Oak Hill,24613
Bluefield-Beckley-Oak Hill,24619
Bluefield-Beckley-Oak Hill,24630
Bluefield-Beckley-Oak Hill,24635
Bluefield-Beckley-Oak Hill,24637
Bluefield-Beckley-Oak Hill,24639
Bluefield-Beckley-Oak Hill,24640
Bluefield-Beckley-Oak Hill,24641
Bluefield-Beckley-Oak Hill,24651
Beaumont-Port Arthur,77713
Beaumont-Port Arthur,77720
Beaumont-Port Arthur,77725
Beaumont-Port Arthur,77726
Birmingham-Ann-Tuscaloosa,35035
Birmingham-Ann-Tuscaloosa,35036
Birmingham-Ann-Tuscaloosa,35038
Birmingham-Ann-Tuscaloosa,35040
Birmingham-Ann-Tuscaloosa,35042
Birmingham-Ann-Tuscaloosa,35043
Baton Rouge,70538
Baton Rouge,70540
Baton Rouge,70704
Boise,83601
Bowling Green,42124
Bluefield-Beckley-Oak Hill,24701
Bluefield-Beckley-Oak Hill,24712
Bluefield-Beckley-Oak Hill,24714
Bluefield-Beckley-Oak Hill,24715
Bluefield-Beckley-Oak Hill,24716
Bluefield-Beckley-Oak Hill,24719
Birmingham-Ann-Tuscaloosa,35044
Birmingham-Ann-Tuscaloosa,35045
Birmingham-Ann-Tuscaloosa,35046
Birmingham-Ann-Tuscaloosa,35048
Boston-Manchester,01005
Baton Rouge,70706
Baton Rouge,70707
Baton Rouge,70710
Baton Rouge,70711
Baton Rouge,70712
Baton Rouge,70714
Boise,83602
Boise,83604
Boise,83605
Boise,83606
Boise,83607
Boise,83610
Boise,83611
Boise,83612
Buffalo,14001
Bowling Green,42127
Bowling Green,42128
Bowling Green,42129
Bowling Green,42130
Bluefield-Beckley-Oak Hill,24724
Bluefield-Beckley-Oak Hill,24726
Bluefield-Beckley-Oak Hill,24729
Bluefield-Beckley-Oak Hill,24731
Bluefield-Beckley-Oak Hill,24732
Bluefield-Beckley-Oak Hill,24733
Bluefield-Beckley-Oak Hill,24736
Bluefield-Beckley-Oak Hill,24737
Bluefield-Beckley-Oak Hill,24738
Bluefield-Beckley-Oak Hill,24739
Bluefield-Beckley-Oak Hill,24740
Birmingham-Ann-Tuscaloosa,35049
Birmingham-Ann-Tuscaloosa,35051
Birmingham-Ann-Tuscaloosa,35052
Birmingham-Ann-Tuscaloosa,35053
Boston-Manchester,01031
Boston-Manchester,01037
Boston-Manchester,01068
Boston-Manchester,01074
Boston-Manchester,01083
Boston-Manchester,01092
Boston-Manchester,01094
Baton Rouge,70715
Baton Rouge,70718
Baton Rouge,70719
Baton Rouge,70721
Baton Rouge,70722
Baton Rouge,70725
Baton Rouge,70726
Baton Rouge,70727
Baton Rouge,70728
Baton Rouge,70729
Baton Rouge,70730
Binghamton,12167
Boise,83615
Boise,83616
Boise,83617
Boise,83619
Boise,83622
Boise,83623
Boise,83624
Boise,83626
Boise,83627
Boise,83628
Boise,83629
Boise,83630
Boise,83631
Buffalo,14004
Buffalo,14005
Buffalo,14006
Buffalo,14008
Bowling Green,42131
Bowling Green,42141
Bowling Green,42142
Bowling Green,42152
Bowling Green,42154
Bowling Green,42156
Bowling Green,42159
Bowling Green,42160
Bluefield-Beckley-Oak Hill,24747
Bluefield-Beckley-Oak Hill,24751
Bluefield-Beckley-Oak Hill,24801
Bluefield-Beckley-Oak Hill,24808
Bluefield-Beckley-Oak Hill,24811
Bluefield-Beckley-Oak Hill,24813
Bluefield-Beckley-Oak Hill,24815
Bangor,04354
Birmingham-Ann-Tuscaloosa,35054
Birmingham-Ann-Tuscaloosa,35055
Birmingham-Ann-Tuscaloosa,35056
Birmingham-Ann-Tuscaloosa,35057
Birmingham-Ann-Tuscaloosa,35058
Birmingham-Ann-Tuscaloosa,35060
Birmingham-Ann-Tuscaloosa,35061
Birmingham-Ann-Tuscaloosa,35062
Birmingham-Ann-Tuscaloosa,35063
Boston-Manchester,01331
Boston-Manchester,01368
Boston-Manchester,01420
Boston-Manchester,01430
Boston-Manchester,01431
Baton Rouge,70732
Baton Rouge,70733
Baton Rouge,70734
Binghamton,12406
Binghamton,12421
Binghamton,12434
Binghamton,12438
Binghamton,12455
Binghamton,12459
Boise,83632
Boise,83633
Boise,83634
Buffalo,14009
Buffalo,14010
Buffalo,14011
Buffalo,14012
Bowling Green,42163
Bowling Green,42166
Bowling Green,42170
Bowling Green,42171
Bluefield-Beckley-Oak Hill,24816
Bluefield-Beckley-Oak Hill,24817
Bluefield-Beckley-Oak Hill,24818
Bangor,04401
Bangor,04402
Birmingham-Ann-Tuscaloosa,35064
Birmingham-Ann-Tuscaloosa,35068
Birmingham-Ann-Tuscaloosa,35070
Birmingham-Ann-Tuscaloosa,35071
Birmingham-Ann-Tuscaloosa,35073
Birmingham-Ann-Tuscaloosa,35074
Birmingham-Ann-Tuscaloosa,35077
Birmingham-Ann-Tuscaloosa,35078
Baltimore,20588
Boston-Manchester,01432
Boston-Manchester,01434
Boston-Manchester,01436
Boston-Manchester,01438
Boston-Manchester,01440
Boston-Manchester,01441
