description,file_urls,city_name,year,files
Download Yosemite Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2016.csv,Yosemite Community College District,2016,"[{'checksum': '8063bba30f8e3eb153fbd201c8bf251c', 'url': 'https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2016.csv', 'path': 'full/bd4afdf49bb5893dbf8951141c9fd19cf8678736.csv'}]"
Download Coast Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/coast-district-2016.csv,Coast Community College District,2016,"[{'checksum': 'bd0cfb19e7fdff633eca54b6b865efec', 'url': 'https://transcal.s3.amazonaws.com/public/export/coast-district-2016.csv', 'path': 'full/ec159e7f4e6a47f53175aeaac43536b48fb0667c.csv'}]"
Download Yosemite Community College District payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2013.csv,Yosemite Community College District,2013,"[{'checksum': '052737cb1ed73890264f74aac8553569', 'url': 'https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2013.csv', 'path': 'full/7b191e20f11a7835006d9c11b4e90b1218396213.csv'}]"
Download West Valley Mission CCD payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/west-valley-mission-ccd-2015.csv,West Valley Mission CCD,2015,"[{'checksum': '721a7780827df26948fa60812a308fbd', 'url': 'https://transcal.s3.amazonaws.com/public/export/west-valley-mission-ccd-2015.csv', 'path': 'full/8f81369458ff9b5db28fc590793dd786537da828.csv'}]"
Download West Valley Mission CCD payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/west-valley-mission-ccd-2014.csv,West Valley Mission CCD,2014,"[{'checksum': 'b7567ad35ca80745c847ba55e6a37ec9', 'url': 'https://transcal.s3.amazonaws.com/public/export/west-valley-mission-ccd-2014.csv', 'path': 'full/27bf2e470e9218583de977c1a84aac634da18594.csv'}]"
Download Yosemite Community College District payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2012.csv,Yosemite Community College District,2012,"[{'checksum': '400d0b847fcdce41b23707b15810358b', 'url': 'https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2012.csv', 'path': 'full/e2359e1854d1e902aa2ebba23f0686bb7c005d17.csv'}]"
Download West Valley Mission CCD payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/west-valley-mission-ccd-2012.csv,West Valley Mission CCD,2012,"[{'checksum': '941765e1fa92c8d525c30a4c03a4f167', 'url': 'https://transcal.s3.amazonaws.com/public/export/west-valley-mission-ccd-2012.csv', 'path': 'full/e610181725f6936f4a873503e543a26f2212b961.csv'}]"
Download Victor Valley College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/victor-valley-college-2016.csv,Victor Valley College,2016,"[{'checksum': '24244af4942494bd4ea074e1bc30c298', 'url': 'https://transcal.s3.amazonaws.com/public/export/victor-valley-college-2016.csv', 'path': 'full/61d91c8517e80fbd16afcff2ba9f9fd1a08e3322.csv'}]"
Download Coast Community College District payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/coast-district-2015.csv,Coast Community College District,2015,"[{'checksum': '6d43014d5801e1828c9b5187c9a96d67', 'url': 'https://transcal.s3.amazonaws.com/public/export/coast-district-2015.csv', 'path': 'full/609d8413ac23d3938d638ca5b4fd5fbad2489e12.csv'}]"
Download West Hills Community College District payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/west-hills-community-college-district-2012.csv,West Hills Community College District,2012,"[{'checksum': '2dfbe69481a600258e4e297e4575ab87', 'url': 'https://transcal.s3.amazonaws.com/public/export/west-hills-community-college-district-2012.csv', 'path': 'full/aed0f698f412cc2a77674f7a9cab5a8a9a9eb688.csv'}]"
Download Yosemite Community College District payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2014.csv,Yosemite Community College District,2014,"[{'checksum': '4b0cb90570f6fdc74b2ff736a59e8f32', 'url': 'https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2014.csv', 'path': 'full/16c605a4bc8d995fc01dda1272c90dc4a2c79892.csv'}]"
Download West Hills Community College District payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/west-hills-community-college-district-2013.csv,West Hills Community College District,2013,"[{'checksum': 'c70816168d37c523e3df7698e8184868', 'url': 'https://transcal.s3.amazonaws.com/public/export/west-hills-community-college-district-2013.csv', 'path': 'full/0d297848183db26a8674f97a23fd12863c3f76e4.csv'}]"
Download Victor Valley College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/victor-valley-college-2014.csv,Victor Valley College,2014,"[{'checksum': 'cbe98c019ab486ca104907496eda1500', 'url': 'https://transcal.s3.amazonaws.com/public/export/victor-valley-college-2014.csv', 'path': 'full/da8205adcc5f64497715ad6d9560e1dc610b8cfc.csv'}]"
Download Ventura County CCD payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2016.csv,Ventura County CCD,2016,"[{'checksum': 'b3972ac3be0431579b90bd7a5ba9e31a', 'url': 'https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2016.csv', 'path': 'full/389f9e44166385558cafbd305ddd7a2874075fdf.csv'}]"
Download Victor Valley College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/victor-valley-college-2013.csv,Victor Valley College,2013,"[{'checksum': '24193a397b532d15d7754e89422fb7a1', 'url': 'https://transcal.s3.amazonaws.com/public/export/victor-valley-college-2013.csv', 'path': 'full/d57989125fa737a7a5f6be5df2292faaeba3db8c.csv'}]"
Download West Valley Mission CCD payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/west-valley-mission-ccd-2013.csv,West Valley Mission CCD,2013,"[{'checksum': 'f493453787d7128b6e4b07319dbc3ab9', 'url': 'https://transcal.s3.amazonaws.com/public/export/west-valley-mission-ccd-2013.csv', 'path': 'full/a64f72c6b173af3b51c74ab57af09d943e20f13e.csv'}]"
Download Victor Valley College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/victor-valley-college-2015.csv,Victor Valley College,2015,"[{'checksum': '253fbd52fc6428c6c92ec7c687f2969f', 'url': 'https://transcal.s3.amazonaws.com/public/export/victor-valley-college-2015.csv', 'path': 'full/9d7988c6d5c7fc9bd53443183470a92c9455ae7f.csv'}]"
Download Ventura County CCD payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2012.csv,Ventura County CCD,2012,"[{'checksum': 'd1be9c5c0b54229bc0bf0e2ecf425e2f', 'url': 'https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2012.csv', 'path': 'full/1dd026a6fb12267d7dba051645ff972cdb2bbdc6.csv'}]"
Download Yosemite Community College District payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2015.csv,Yosemite Community College District,2015,"[{'checksum': 'c10253fb32669fdaa5e48ce96911d6d2', 'url': 'https://transcal.s3.amazonaws.com/public/export/yosemite-community-college-district-2015.csv', 'path': 'full/50b69614b45312433e9a3854453086268f164943.csv'}]"
Download Taft College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/taft-college-2014.csv,Taft College,2014,"[{'checksum': 'c4fc322fe336b4ca199304d8b2e7a753', 'url': 'https://transcal.s3.amazonaws.com/public/export/taft-college-2014.csv', 'path': 'full/b92ee7ae59adc7cc4223f9558b8c080b8b098d18.csv'}]"
Download Taft College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/taft-college-2016.csv,Taft College,2016,"[{'checksum': 'dd6262b2a8bd6977500662b05265ca04', 'url': 'https://transcal.s3.amazonaws.com/public/export/taft-college-2016.csv', 'path': 'full/589fec9356232a19a5f3faea12acae224d45e421.csv'}]"
Download Taft College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/taft-college-2012.csv,Taft College,2012,"[{'checksum': '5700ed54a1a22a7e7b8603f76e160239', 'url': 'https://transcal.s3.amazonaws.com/public/export/taft-college-2012.csv', 'path': 'full/f2f359a5e941aed728a0d7e3fbab652f46315730.csv'}]"
Download Ventura County CCD payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2013.csv,Ventura County CCD,2013,"[{'checksum': '1b40a5bbf3657e4ae80727a1db9c8eda', 'url': 'https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2013.csv', 'path': 'full/37926aea76d03ff56d690b4fa56855b230cb74c5.csv'}]"
Download Taft College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/taft-college-2013.csv,Taft College,2013,"[{'checksum': '0f940d759a0b55e63d91bd1bf8e87fa3', 'url': 'https://transcal.s3.amazonaws.com/public/export/taft-college-2013.csv', 'path': 'full/b5890f6db25ab43478f54555292ccdc7dc8990c7.csv'}]"
Download Taft College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/taft-college-2015.csv,Taft College,2015,"[{'checksum': '30a026c0670d4dcd6f49e361ca55fcf4', 'url': 'https://transcal.s3.amazonaws.com/public/export/taft-college-2015.csv', 'path': 'full/a939a7c4929ea15c73bcc3c7eb788822fe0a059b.csv'}]"
Download Ventura County CCD payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2015.csv,Ventura County CCD,2015,"[{'checksum': '11f2d81f8fc712b79e981412ed562712', 'url': 'https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2015.csv', 'path': 'full/e16e5a339156c0bf5e4f37606f60c78a0d0863b9.csv'}]"
Download Ventura County CCD payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2014.csv,Ventura County CCD,2014,"[{'checksum': '2a9c3f394b599b798decd75e36a57f2a', 'url': 'https://transcal.s3.amazonaws.com/public/export/ventura-county-ccd-2014.csv', 'path': 'full/3f6347551b576d3b8b6c7f55ddc449155c1c9406.csv'}]"
Download State Center Community College District payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2013.csv,State Center Community College District,2013,"[{'checksum': '10cc67e8510ad041721225629e35ed21', 'url': 'https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2013.csv', 'path': 'full/8f1e09ae1e609cb86c3309a61172d2c7555f9aae.csv'}]"
Download State Center Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2016.csv,State Center Community College District,2016,"[{'checksum': '574d04174411b00c0d4beb44d2a5312b', 'url': 'https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2016.csv', 'path': 'full/880c7a0f0e29fbac6fa5068f08af059c29c90296.csv'}]"
Download Southwestern College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/southwestern-college-2015.csv,Southwestern College,2015,"[{'checksum': '0867569d9687482af68d7ea381ab3b49', 'url': 'https://transcal.s3.amazonaws.com/public/export/southwestern-college-2015.csv', 'path': 'full/91a7a32a449fdbfb207162d0a44badc4b2332d9c.csv'}]"
Download Southwestern College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/southwestern-college-2012.csv,Southwestern College,2012,"[{'checksum': '06af26b6feea268a72d7eafcd7d40a31', 'url': 'https://transcal.s3.amazonaws.com/public/export/southwestern-college-2012.csv', 'path': 'full/1ed08dcac63cc0ee48fc6625ff2047c14133ba82.csv'}]"
Download Southwestern College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/southwestern-college-2016.csv,Southwestern College,2016,"[{'checksum': 'f5fbc1de5445c8d1ada2a688fe265ce1', 'url': 'https://transcal.s3.amazonaws.com/public/export/southwestern-college-2016.csv', 'path': 'full/2c9fbe2e03148a01420f86fbb1c29f7c5fba089c.csv'}]"
Download State Center Community College District payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2015.csv,State Center Community College District,2015,"[{'checksum': '4462a33a4812ca4b0525024ddf9f4af2', 'url': 'https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2015.csv', 'path': 'full/c7a80c040cfbcd492b0ed660122728c4d5f9ddbc.csv'}]"
Download South Orange Community College District payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2014.csv,South Orange Community College District,2014,"[{'checksum': 'cec95627ea05cc95fa0b6228630f9929', 'url': 'https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2014.csv', 'path': 'full/37f120f1ac40ff317f6bf045fe376e2a468f8259.csv'}]"
Download South Orange Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2016.csv,South Orange Community College District,2016,"[{'checksum': 'd9a15595041669d46f8b5554c2334e81', 'url': 'https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2016.csv', 'path': 'full/7183fcbd6f3a2e0c7f8821dccbb2e2d352358c94.csv'}]"
Download Solano Community College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/solano-community-college-2015.csv,Solano Community College,2015,"[{'checksum': 'a001296a57d031ca4139dcb3d818e38a', 'url': 'https://transcal.s3.amazonaws.com/public/export/solano-community-college-2015.csv', 'path': 'full/3a3f023621efdf4aeee793c87876e5015a56296f.csv'}]"
Download Solano Community College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/solano-community-college-2016.csv,Solano Community College,2016,"[{'checksum': 'd8721d6991eade3a0448f1b489e9a217', 'url': 'https://transcal.s3.amazonaws.com/public/export/solano-community-college-2016.csv', 'path': 'full/ed4c18e339811e18ad776c985078c4f91949ef40.csv'}]"
Download Solano Community College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/solano-community-college-2014.csv,Solano Community College,2014,"[{'checksum': '437c45ec1dcf31beb60d0b939af4d2b7', 'url': 'https://transcal.s3.amazonaws.com/public/export/solano-community-college-2014.csv', 'path': 'full/527b1e681a1a6aa38fbb3c947f00bb69a73c2ee0.csv'}]"
Download South Orange Community College District payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2015.csv,South Orange Community College District,2015,"[{'checksum': 'bb200f0ded768ee5eb5862e34326cb5d', 'url': 'https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2015.csv', 'path': 'full/0a5f494a0196b3449ff69b0abe826f22d04c6fba.csv'}]"
Download State Center Community College District payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2012.csv,State Center Community College District,2012,"[{'checksum': 'e0f0eb4684ef618791b38cda8b29281d', 'url': 'https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2012.csv', 'path': 'full/7684bddd66aa95a9d11b7eab9d1e47d577fc50f7.csv'}]"
Download State Center Community College District payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2014.csv,State Center Community College District,2014,"[{'checksum': 'a4c2c3e3090c7748bc1787b079c5399c', 'url': 'https://transcal.s3.amazonaws.com/public/export/state-center-community-college-district-2014.csv', 'path': 'full/dee6bdbcf7b4f2b1f2fcb3e67525353d8dfb9b02.csv'}]"
Download Solano Community College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/solano-community-college-2013.csv,Solano Community College,2013,"[{'checksum': '460c4060fc39f4dc526a5871cf2551a0', 'url': 'https://transcal.s3.amazonaws.com/public/export/solano-community-college-2013.csv', 'path': 'full/6bcc905c423581f3758df5669e4ed3103ed97fec.csv'}]"
Download Southwestern College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/southwestern-college-2013.csv,Southwestern College,2013,"[{'checksum': '256251fd3fec2e08a0aa0331f857a5c8', 'url': 'https://transcal.s3.amazonaws.com/public/export/southwestern-college-2013.csv', 'path': 'full/2dcb223671c2966e3e491e69466cdb3a36b9980e.csv'}]"
Download South Orange Community College District payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2012.csv,South Orange Community College District,2012,"[{'checksum': 'bd74747e596ba33e6d613e070e97971f', 'url': 'https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2012.csv', 'path': 'full/a939ab487671eb0a6dee3ac808cf81bfde37afc9.csv'}]"
Download Solano Community College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/solano-community-college-2012.csv,Solano Community College,2012,"[{'checksum': '140e17d85b0695e85e2d652a8032d00a', 'url': 'https://transcal.s3.amazonaws.com/public/export/solano-community-college-2012.csv', 'path': 'full/0aa1549fe4606d99959501742871c914832a37e7.csv'}]"
Download Sierra College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/sierra-college-2015.csv,Sierra College,2015,"[{'checksum': '1e00c15b283b0fc1f041abb3cd53159c', 'url': 'https://transcal.s3.amazonaws.com/public/export/sierra-college-2015.csv', 'path': 'full/5ced96a15f60791c80a33b85d2df2cebb0f274e3.csv'}]"
Download Sierra College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/sierra-college-2013.csv,Sierra College,2013,"[{'checksum': 'fe39ac91856edc17ddfb660d9803565e', 'url': 'https://transcal.s3.amazonaws.com/public/export/sierra-college-2013.csv', 'path': 'full/fd14cea8108ce9e631f7d92ed7a556bd22bdfa92.csv'}]"
Download Sierra College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/sierra-college-2014.csv,Sierra College,2014,"[{'checksum': '101f970aafcef6368d8fad5a54ecb23d', 'url': 'https://transcal.s3.amazonaws.com/public/export/sierra-college-2014.csv', 'path': 'full/dc97945ece90fe1f04e4e9a13ff94092e5cd60cb.csv'}]"
Download Santa Rosa Junior College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2015.csv,Santa Rosa Junior College,2015,"[{'checksum': '6c0970f95af431f60d98a25fbb866984', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2015.csv', 'path': 'full/d22acda9d03c03093dd5520146977eb2810f6e06.csv'}]"
Download Sierra College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/sierra-college-2016.csv,Sierra College,2016,"[{'checksum': '1053a679091e236d8b1a08cbdb9fa431', 'url': 'https://transcal.s3.amazonaws.com/public/export/sierra-college-2016.csv', 'path': 'full/73d7200474eed459501f1f14fe09b3339743ad57.csv'}]"
Download Santa Rosa Junior College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2013.csv,Santa Rosa Junior College,2013,"[{'checksum': '086ce9303b0c311fabf4f769fe43e657', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2013.csv', 'path': 'full/5414c100e277fb72eb9671865bcf529007f74cb8.csv'}]"
Download Santa Rosa Junior College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2014.csv,Santa Rosa Junior College,2014,"[{'checksum': 'b22ec78dddeba460972cfb38e2741a5a', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2014.csv', 'path': 'full/48e882335229fcc91953c089b0a6b11006e4de85.csv'}]"
Download Santa Rosa Junior College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2016.csv,Santa Rosa Junior College,2016,"[{'checksum': 'f9f7b6223ff8620e78cad785e6c2c4f6', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2016.csv', 'path': 'full/098573d58c742bc29188811a20c09940139180b9.csv'}]"
Download South Orange Community College District payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2013.csv,South Orange Community College District,2013,"[{'checksum': 'a795cc308e00a3535b197f87fa14285c', 'url': 'https://transcal.s3.amazonaws.com/public/export/south-orange-community-college-district-2013.csv', 'path': 'full/00111691ecf11260f050f65be643f6f708b7fa6b.csv'}]"
Download Santa Monica College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2015.csv,Santa Monica College,2015,"[{'checksum': 'bcb4a833d2f9cfd23105b296cecb95b9', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2015.csv', 'path': 'full/11a763719ec181c4bf5e93b70357f98096c26cf1.csv'}]"
Download Santa Monica College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2014.csv,Santa Monica College,2014,"[{'checksum': '1c2b3518e70cf95bac693fae43ffd660', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2014.csv', 'path': 'full/8afa5832d18581165ae1b2617ac28f8157b3f4ef.csv'}]"
Download Sierra College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/sierra-college-2012.csv,Sierra College,2012,"[{'checksum': '19613bdcd1a698420bf1f5dc8215b890', 'url': 'https://transcal.s3.amazonaws.com/public/export/sierra-college-2012.csv', 'path': 'full/78a2efa0a3d5b699f19c7fa5bf0feb8ae7434522.csv'}]"
Download Santa Monica College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2016.csv,Santa Monica College,2016,"[{'checksum': '1dc1fc4eb61cf7e41adb80fbc7b25646', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2016.csv', 'path': 'full/e7f23de735e83a2eaaba0d4c65241610d057aaca.csv'}]"
Download Shasta College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/shasta-college-2014.csv,Shasta College,2014,"[{'checksum': '3149aa32cc4168456b54af38c54d8bfe', 'url': 'https://transcal.s3.amazonaws.com/public/export/shasta-college-2014.csv', 'path': 'full/e28ff146394239976a7a52db69078e13bb71a662.csv'}]"
Download Shasta College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/shasta-college-2015.csv,Shasta College,2015,"[{'checksum': '048ccdd815e7b30bd75f9fa5ff9d426d', 'url': 'https://transcal.s3.amazonaws.com/public/export/shasta-college-2015.csv', 'path': 'full/3d4d55ce924a2a467559a901a8cc756a96bb554e.csv'}]"
Download Santa Monica College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2013.csv,Santa Monica College,2013,"[{'checksum': '0a82a25c64d1d5337abbd81ccdde182d', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2013.csv', 'path': 'full/4696e8ce3708bf1f932126d5fb97ed9dd4508645.csv'}]"
Download Shasta College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/shasta-college-2012.csv,Shasta College,2012,"[{'checksum': '6f0a912d629ea238ee2945aed34fd4ab', 'url': 'https://transcal.s3.amazonaws.com/public/export/shasta-college-2012.csv', 'path': 'full/e157ae7e349d413246ef41f0cf9e84005d423fa8.csv'}]"
Download Shasta College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/shasta-college-2016.csv,Shasta College,2016,"[{'checksum': 'e695beab19993789f6b95c4afa0c5614', 'url': 'https://transcal.s3.amazonaws.com/public/export/shasta-college-2016.csv', 'path': 'full/85e3788fd5be5ac547fc346983c22de22b26bf75.csv'}]"
Download Santa Rosa Junior College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2012.csv,Santa Rosa Junior College,2012,"[{'checksum': 'd5bc7ce31154151f68e54a8ef95c43a0', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-rosa-junior-college-2012.csv', 'path': 'full/a9300a7c005c03f54ccdc8ee586fcdb25919f36b.csv'}]"
Download Shasta College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/shasta-college-2013.csv,Shasta College,2013,"[{'checksum': 'ef3d80b9499771fd8d831825bb625558', 'url': 'https://transcal.s3.amazonaws.com/public/export/shasta-college-2013.csv', 'path': 'full/61e6f823c0799c5e41d9bb9da5f93d9663712b92.csv'}]"
Download Santa Barbara City College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2014.csv,Santa Barbara City College,2014,"[{'checksum': '473094c4e1e3e569c7b399600eeb05df', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2014.csv', 'path': 'full/5ff9a2fb227fc1523d66fa4993f4f7cfa7304e37.csv'}]"
Download Santa Barbara City College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2015.csv,Santa Barbara City College,2015,"[{'checksum': '964e4b13675750668e2250187ba89fb3', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2015.csv', 'path': 'full/9ddf317436893beb4df0abb98d06f5071539ff49.csv'}]"
Download Santa Barbara City College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2016.csv,Santa Barbara City College,2016,"[{'checksum': '8e63c8301ebf4b18d24cf15d13f6c56a', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2016.csv', 'path': 'full/cccc2e0fa093bad623dbe164b560b4065ba85191.csv'}]"
Download Santa Barbara City College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2013.csv,Santa Barbara City College,2013,"[{'checksum': '39d334300add45bba74961b0a6286ca7', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2013.csv', 'path': 'full/a7c7646a14b188345596e1e69838b8823ff0611d.csv'}]"
Download Santa Barbara City College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2012.csv,Santa Barbara City College,2012,"[{'checksum': '889dfeb6c00dc8269ca1f3fdf25c8f1e', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-barbara-city-college-2012.csv', 'path': 'full/6b4e93bb2caba0805199491e7aa82a88fd6f3d97.csv'}]"
Download San Jose Evergreen Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/san-jose-evergreen-community-college-district-2016.csv,San Jose Evergreen Community College District,2016,"[{'checksum': '785143ca7143ab6321ca058bccbbbe08', 'url': 'https://transcal.s3.amazonaws.com/public/export/san-jose-evergreen-community-college-district-2016.csv', 'path': 'full/444a7b1eecdec7e0001c790148d4043028acd773.csv'}]"
Download Santa Monica College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2012.csv,Santa Monica College,2012,"[{'checksum': 'b2432c0351ed77095feae3add62edb92', 'url': 'https://transcal.s3.amazonaws.com/public/export/santa-monica-college-2012.csv', 'path': 'full/d5fb773c1a2f638b5bc9fe37f0bfb71ad6e87cf8.csv'}]"
Download San Mateo Community College District payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/san-mateo-community-college-district-2015.csv,San Mateo Community College District,2015,"[{'checksum': '38d718a393dd820600b3fd2bbbc740b2', 'url': 'https://transcal.s3.amazonaws.com/public/export/san-mateo-community-college-district-2015.csv', 'path': 'full/3944ec64d140a8da8a78108d75866c270567a1af.csv'}]"
Download San Mateo Community College District payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/san-mateo-community-college-district-2014.csv,San Mateo Community College District,2014,"[{'checksum': '67e85ddaf11a6fae39985ea91a18b757', 'url': 'https://transcal.s3.amazonaws.com/public/export/san-mateo-community-college-district-2014.csv', 'path': 'full/c5a46163f42651d51d75014ca7bb4ecf3ae0b60f.csv'}]"
Download San Jose Evergreen Community College District payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/san-jose-evergreen-community-college-district-2012.csv,San Jose Evergreen Community College District,2012,"[{'checksum': 'd535e8df4126abc1b36f8f431b835613', 'url': 'https://transcal.s3.amazonaws.com/public/export/san-jose-evergreen-community-college-district-2012.csv', 'path': 'full/97faf9ac2496181beba448d04210e467c4f08663.csv'}]"
Download San Mateo Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/san-mateo-community-college-district-2016.csv,San Mateo Community College District,2016,"[{'checksum': 'abd79b9e06a15de6773dc28d77f02c89', 'url': 'https://transcal.s3.amazonaws.com/public/export/san-mateo-community-college-district-2016.csv', 'path': 'full/c7875f430dbaee3a547be78c3ab83a3dd6bafa72.csv'}]"
