description,file_urls,city_name,year,files
Download Cuesta College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/cuesta-college-2013.csv,Cuesta College,2013,"[{'checksum': 'f5a85a5a09089e44dfc3b6fbfa1fa5b3', 'url': 'https://transcal.s3.amazonaws.com/public/export/cuesta-college-2013.csv', 'path': 'full/0f339ae2de00eb2414211ba533e8d9b99fc1b288.csv'}]"
Download Glendale Community College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2015.csv,Glendale Community College,2015,"[{'checksum': 'e78cb3d7bd6bde2879784d57df07595b', 'url': 'https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2015.csv', 'path': 'full/490361de6961c716978ee063c6203c6045c0533d.csv'}]"
Download Foothill Deanza Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2016.csv,Foothill Deanza Community College District,2016,"[{'checksum': 'c9a3094a905c6f199631e2e5d10ac9a1', 'url': 'https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2016.csv', 'path': 'full/b515e18d910c8be86c433c8d3c1a8f9fcf2ff812.csv'}]"
Download Foothill Deanza Community College District payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2012.csv,Foothill Deanza Community College District,2012,"[{'checksum': '0c167b6eed65e23d4260d344c11f5018', 'url': 'https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2012.csv', 'path': 'full/af001852d8729663407842ca47339d76d4ac908e.csv'}]"
Download Foothill Deanza Community College District payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2014.csv,Foothill Deanza Community College District,2014,"[{'checksum': 'c78ed177a5b13cbef6abcd1966bcbc4a', 'url': 'https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2014.csv', 'path': 'full/403b3160a2375b57babd0f5eee6b5e6f624b280d.csv'}]"
Download Cuesta College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/cuesta-college-2015.csv,Cuesta College,2015,"[{'checksum': '9b9b0f77066da12fb774782257236ac2', 'url': 'https://transcal.s3.amazonaws.com/public/export/cuesta-college-2015.csv', 'path': 'full/a0c110d1ab50e7b8a2109375d54ea47c31b203b9.csv'}]"
Download Glendale Community College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2014.csv,Glendale Community College,2014,"[{'checksum': '662e41e4ad987164e716cfb4b56937ba', 'url': 'https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2014.csv', 'path': 'full/75d444305638fd2b1bbd7f08082b530de56c097a.csv'}]"
Download Gavilan College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/gavilan-college-2016.csv,Gavilan College,2016,"[{'checksum': 'e7b9e492a596c0250d0ac97b05cb11fb', 'url': 'https://transcal.s3.amazonaws.com/public/export/gavilan-college-2016.csv', 'path': 'full/df544517d50f16983e85ee200a834209a555edb4.csv'}]"
Download Cuesta College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/cuesta-college-2014.csv,Cuesta College,2014,"[{'checksum': '1914950bfa1d10b89ca58bb572cd2376', 'url': 'https://transcal.s3.amazonaws.com/public/export/cuesta-college-2014.csv', 'path': 'full/065883e653b558380c6b1d570cf3177ac73f0556.csv'}]"
Download Gavilan College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/gavilan-college-2013.csv,Gavilan College,2013,"[{'checksum': '851935e98bd3901a6a3a1492de674494', 'url': 'https://transcal.s3.amazonaws.com/public/export/gavilan-college-2013.csv', 'path': 'full/cab709528444bba854f428b220e4603de767de7c.csv'}]"
Download Glendale Community College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2016.csv,Glendale Community College,2016,"[{'checksum': 'd9548aba34f2aa9d8a324ed38e147f89', 'url': 'https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2016.csv', 'path': 'full/1e9ae01401ca32ea5c770f46af9ea67939c27175.csv'}]"
Download Copper Mountain College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/copper-mountain-college-2013.csv,Copper Mountain College,2013,"[{'checksum': 'b9f5c35c23763e3b506e621752aea130', 'url': 'https://transcal.s3.amazonaws.com/public/export/copper-mountain-college-2013.csv', 'path': 'full/79fa941bfad9e3f95d1046103c5fe5cda00b6c9b.csv'}]"
Download Gavilan College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/gavilan-college-2012.csv,Gavilan College,2012,"[{'checksum': 'bb280ea8c321d47c79e6f665845bd722', 'url': 'https://transcal.s3.amazonaws.com/public/export/gavilan-college-2012.csv', 'path': 'full/c3b7c06789e277cfc360a8233cb5a167ca3fa004.csv'}]"
Download Copper Mountain College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/copper-mountain-college-2014.csv,Copper Mountain College,2014,"[{'checksum': '0cbb9bd4749dfcf8b02183857e17717b', 'url': 'https://transcal.s3.amazonaws.com/public/export/copper-mountain-college-2014.csv', 'path': 'full/90bb7e6f5a8596719b359ccfef82695efbaa3557.csv'}]"
Download Gavilan College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/gavilan-college-2014.csv,Gavilan College,2014,"[{'checksum': '8cfeb3bed942484d748d71d959a6043e', 'url': 'https://transcal.s3.amazonaws.com/public/export/gavilan-college-2014.csv', 'path': 'full/ea385cb3cda917edba6072b6fdef2c1fc1a5203b.csv'}]"
Download Feather River College payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/feather-river-college-2015.csv,Feather River College,2015,"[{'checksum': '0e15556f8f5aea4ce65e778c0de6f963', 'url': 'https://transcal.s3.amazonaws.com/public/export/feather-river-college-2015.csv', 'path': 'full/5f44198bab173a1252c6aacf52b6293d8ade1f57.csv'}]"
Download Copper Mountain College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/copper-mountain-college-2012.csv,Copper Mountain College,2012,"[{'checksum': 'deb1c10b800e7e42f735aa9ba68f7e6c', 'url': 'https://transcal.s3.amazonaws.com/public/export/copper-mountain-college-2012.csv', 'path': 'full/53690f0844d33bda6b09dc3a7d8a313eff80c088.csv'}]"
Download Feather River College payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/feather-river-college-2014.csv,Feather River College,2014,"[{'checksum': 'a835166f41bb094cefb39f7d4aac17fd', 'url': 'https://transcal.s3.amazonaws.com/public/export/feather-river-college-2014.csv', 'path': 'full/0795ad9e9b1158071633b68ed98d3c2fdb1e1d8b.csv'}]"
Download Feather River College payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/feather-river-college-2016.csv,Feather River College,2016,"[{'checksum': 'f25509a3e6829fa0f895ac5afad3126b', 'url': 'https://transcal.s3.amazonaws.com/public/export/feather-river-college-2016.csv', 'path': 'full/592a07a8e7794df9159161de732991303e65ac33.csv'}]"
Download Glendale Community College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2012.csv,Glendale Community College,2012,"[{'checksum': '56c12d864c0dfafb388669b0230dcecb', 'url': 'https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2012.csv', 'path': 'full/c76dc5941c82fce18ecf2d7a94bf2a8d7ee07026.csv'}]"
Download Feather River College payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/feather-river-college-2012.csv,Feather River College,2012,"[{'checksum': '69cbb947f90551fea1f7f113863f81e9', 'url': 'https://transcal.s3.amazonaws.com/public/export/feather-river-college-2012.csv', 'path': 'full/23b8e37ff69c71f96840604542272534dbf1096a.csv'}]"
Download Foothill Deanza Community College District payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2013.csv,Foothill Deanza Community College District,2013,"[{'checksum': '2c638537afa526fffa074adff3e43b27', 'url': 'https://transcal.s3.amazonaws.com/public/export/foothill-deanza-district-2013.csv', 'path': 'full/0ea56b8756d331bc24cd5f93441099e5edef49fc.csv'}]"
Download Feather River College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/feather-river-college-2013.csv,Feather River College,2013,"[{'checksum': 'a9dafd7deefd121a51b031196916d286', 'url': 'https://transcal.s3.amazonaws.com/public/export/feather-river-college-2013.csv', 'path': 'full/0765651cd3588270a97e5ce6246dd61a01d18ccd.csv'}]"
Download College of the Siskiyous payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2016.csv,College of the Siskiyous,2016,"[{'checksum': 'ab7abca35eda8ba5029d34c8a67a621e', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2016.csv', 'path': 'full/77e82241a7797340cbc2f21045b7c3bc767e2dda.csv'}]"
Download Glendale Community College payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2013.csv,Glendale Community College,2013,"[{'checksum': '96a20f8806532b1781768216e91179b4', 'url': 'https://transcal.s3.amazonaws.com/public/export/glendale-community-college-2013.csv', 'path': 'full/806a6002ec9b4482ee54c5556104e170d53cd09d.csv'}]"
Download College of the Siskiyous payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2015.csv,College of the Siskiyous,2015,"[{'checksum': 'b18c7a5e72e4bd4722a20354cfc76bae', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2015.csv', 'path': 'full/9ad7a42e3d57a071eeaf185c2787828e28e5408d.csv'}]"
Download College of the Redwoods payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/college-redwoods-2013.csv,College of the Redwoods,2013,"[{'checksum': '5685f5f7b256df773e775e53bc6903a3', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-redwoods-2013.csv', 'path': 'full/f1c07a6ec7f1bb3a8fab51b1a7549f0f19c84fb5.csv'}]"
