year,files,description,city_name,file_urls
2014,"[{'path': 'full/026ee337c00352fcb1289dab0cdff0841ad52803.csv', 'checksum': '42da69e3603dbc5af7256e6d2b3fee6c', 'url': 'https://transcal.s3.amazonaws.com/public/export/atwater-2014.csv'}]",Download Atwater payroll data for 2014,Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2014.csv
2013,"[{'path': 'full/178ec9f10d9dbbfd578bdbd0dca6e6e28ebcc5f5.csv', 'checksum': '385f830db11ae7055140a9dec37a69af', 'url': 'https://transcal.s3.amazonaws.com/public/export/atwater-2013.csv'}]",Download Atwater payroll data for 2013,Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2013.csv
2012,"[{'path': 'full/a19bad2a96e2fd61b084eb2ef0c84e4b1dff3f99.csv', 'checksum': '9dea88c19297800c892274545738b81f', 'url': 'https://transcal.s3.amazonaws.com/public/export/atwater-2012.csv'}]",Download Atwater payroll data for 2012,Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2012.csv
2016,"[{'path': 'full/9a5d318e88a366c823249db511eee0f555d74fb7.csv', 'checksum': '8f23f45a33f67427f7eeb54627987104', 'url': 'https://transcal.s3.amazonaws.com/public/export/avalon-2016.csv'}]",Download Avalon payroll data for 2016,Avalon,https://transcal.s3.amazonaws.com/public/export/avalon-2016.csv
2011,"[{'path': 'full/a6cb634d34f3649c6ce224eaa06647d2f8057ed8.csv', 'checksum': 'd26db38745eb5e95a638de286861cb29', 'url': 'https://transcal.s3.amazonaws.com/public/export/atwater-2011.csv'}]",Download Atwater payroll data for 2011,Atwater,https://transcal.s3.amazonaws.com/public/export/atwater-2011.csv
2015,"[{'path': 'full/bd415e58d653513e9fe4a2e8716c24cf51214022.csv', 'checksum': 'f9cde51dbb24dd94cdfa279cd865e70b', 'url': 'https://transcal.s3.amazonaws.com/public/export/barstow-2015.csv'}]",Download Barstow payroll data for 2015,Barstow,https://transcal.s3.amazonaws.com/public/export/barstow-2015.csv
2014,"[{'path': 'full/ffcd04237551867d76c83c2831e58eacb5b0ab50.csv', 'checksum': 'e7f0b191d26e1165ad09c712863711c0', 'url': 'https://transcal.s3.amazonaws.com/public/export/barstow-2014.csv'}]",Download Barstow payroll data for 2014,Barstow,https://transcal.s3.amazonaws.com/public/export/barstow-2014.csv
2013,"[{'path': 'full/39fe7f8968e6d25f24f0158d7c51e0dfdea678df.csv', 'checksum': '4f6138c949c19ebf0d1a9b018215bb4d', 'url': 'https://transcal.s3.amazonaws.com/public/export/barstow-2013.csv'}]",Download Barstow payroll data for 2013,Barstow,https://transcal.s3.amazonaws.com/public/export/barstow-2013.csv
2016,"[{'path': 'full/3ba343c90bcac4c5bd319b9a05572053253dbc61.csv', 'checksum': '34a8561c2fe7278e3a771a2d79e4de2a', 'url': 'https://transcal.s3.amazonaws.com/public/export/barstow-2016.csv'}]",Download Barstow payroll data for 2016,Barstow,https://transcal.s3.amazonaws.com/public/export/barstow-2016.csv
2012,"[{'path': 'full/7303f2d295fd4ef40944a44b443a5d73ae735ea7.csv', 'checksum': '9201cd2f27c69258990183536b583c32', 'url': 'https://transcal.s3.amazonaws.com/public/export/barstow-2012.csv'}]",Download Barstow payroll data for 2012,Barstow,https://transcal.s3.amazonaws.com/public/export/barstow-2012.csv
2011,"[{'path': 'full/ecaddf03fbc23ef0ee26b1cd5e0b4a740ee8b6c1.csv', 'checksum': '8e5b4c54e132079c57afe476fb184650', 'url': 'https://transcal.s3.amazonaws.com/public/export/barstow-2011.csv'}]",Download Barstow payroll data for 2011,Barstow,https://transcal.s3.amazonaws.com/public/export/barstow-2011.csv
2015,"[{'path': 'full/8d29a1c78b776ffbac10063ab829090bbc9d11c9.csv', 'checksum': '86539e8326c354a73b6f9b435fd81df5', 'url': 'https://transcal.s3.amazonaws.com/public/export/baldwin-park-2015.csv'}]",Download Baldwin Park payroll data for 2015,Baldwin Park,https://transcal.s3.amazonaws.com/public/export/baldwin-park-2015.csv
2014,"[{'path': 'full/adbc1d498773fa137c500b8a56db5d5b5b1b992c.csv', 'checksum': '726331f357086e903442f916b01642cb', 'url': 'https://transcal.s3.amazonaws.com/public/export/baldwin-park-2014.csv'}]",Download Baldwin Park payroll data for 2014,Baldwin Park,https://transcal.s3.amazonaws.com/public/export/baldwin-park-2014.csv
2015,"[{'path': 'full/a1a0c58cbbd85bfad41fbdf8febf9bc94978d740.csv', 'checksum': '2de8afbdc3651595d868110f595601fe', 'url': 'https://transcal.s3.amazonaws.com/public/export/azusa-2015.csv'}]",Download Azusa payroll data for 2015,Azusa,https://transcal.s3.amazonaws.com/public/export/azusa-2015.csv
2016,"[{'path': 'full/417e5ee53ace3a8aff946305275ee9c8bf915a67.csv', 'checksum': 'c5f6d776140548980b808acd4100d249', 'url': 'https://transcal.s3.amazonaws.com/public/export/azusa-2016.csv'}]",Download Azusa payroll data for 2016,Azusa,https://transcal.s3.amazonaws.com/public/export/azusa-2016.csv
2014,"[{'path': 'full/aafbe5dc44e7af497ff1d05c2edf05ed63532aef.csv', 'checksum': '85075daf9825e5be72183f4a9933df7f', 'url': 'https://transcal.s3.amazonaws.com/public/export/azusa-2014.csv'}]",Download Azusa payroll data for 2014,Azusa,https://transcal.s3.amazonaws.com/public/export/azusa-2014.csv
2013,"[{'path': 'full/4c76d8d28ac9ba7c92b5c205ee9837b6fa44d9d2.csv', 'checksum': 'd268a20b3be488ce3dc15a52e5e05804', 'url': 'https://transcal.s3.amazonaws.com/public/export/baldwin-park-2013.csv'}]",Download Baldwin Park payroll data for 2013,Baldwin Park,https://transcal.s3.amazonaws.com/public/export/baldwin-park-2013.csv
2016,"[{'path': 'full/d35f39537c280830941530e7d9bbe9766a376547.csv', 'checksum': 'dc101792d517244994f7736ed113f0c3', 'url': 'https://transcal.s3.amazonaws.com/public/export/beaumont-2016.csv'}]",Download Beaumont payroll data for 2016,Beaumont,https://transcal.s3.amazonaws.com/public/export/beaumont-2016.csv
2013,"[{'path': 'full/868128c67f89754286bf6e56991eaa8236d9aaa6.csv', 'checksum': 'b874b4bc9dac50f31f11d2a7cf829d4d', 'url': 'https://transcal.s3.amazonaws.com/public/export/azusa-2013.csv'}]",Download Azusa payroll data for 2013,Azusa,https://transcal.s3.amazonaws.com/public/export/azusa-2013.csv
2012,"[{'path': 'full/c203c1da2b277c81179c95d5de1628d5d883f337.csv', 'checksum': 'd928cff8465d00329bfced6bd2d5a4d7', 'url': 'https://transcal.s3.amazonaws.com/public/export/azusa-2012.csv'}]",Download Azusa payroll data for 2012,Azusa,https://transcal.s3.amazonaws.com/public/export/azusa-2012.csv
2011,"[{'path': 'full/2ce1d437ec5829a342f907cb29e84f4eb6372f11.csv', 'checksum': 'b72e33adf4442e9f8b9b2fda02bfe756', 'url': 'https://transcal.s3.amazonaws.com/public/export/azusa-2011.csv'}]",Download Azusa payroll data for 2011,Azusa,https://transcal.s3.amazonaws.com/public/export/azusa-2011.csv
2011,"[{'path': 'full/5e593eb148d77017dc8267130281ea23c4096ac4.csv', 'checksum': '365eee02840a174a54698fcf7134e382', 'url': 'https://transcal.s3.amazonaws.com/public/export/baldwin-park-2011.csv'}]",Download Baldwin Park payroll data for 2011,Baldwin Park,https://transcal.s3.amazonaws.com/public/export/baldwin-park-2011.csv
2013,"[{'path': 'full/fb7eb9afaf4491e5fb19062e418ee70b6b81bf4c.csv', 'checksum': '3a0ee542dc4ab41eaf30ececf45e4b5d', 'url': 'https://transcal.s3.amazonaws.com/public/export/beaumont-2013.csv'}]",Download Beaumont payroll data for 2013,Beaumont,https://transcal.s3.amazonaws.com/public/export/beaumont-2013.csv
2014,"[{'path': 'full/cce68d0d8799f840e85f96a88bf1f32e73c0eba4.csv', 'checksum': '2761e490bec64d7ee17cf08fe8aea52f', 'url': 'https://transcal.s3.amazonaws.com/public/export/beaumont-2014.csv'}]",Download Beaumont payroll data for 2014,Beaumont,https://transcal.s3.amazonaws.com/public/export/beaumont-2014.csv
2015,"[{'path': 'full/8fc540f8fa418dce2d66bc7c7760478d76588aa7.csv', 'checksum': '53345cee406a330c53186849d8f2cc2f', 'url': 'https://transcal.s3.amazonaws.com/public/export/beaumont-2015.csv'}]",Download Beaumont payroll data for 2015,Beaumont,https://transcal.s3.amazonaws.com/public/export/beaumont-2015.csv
2012,"[{'path': 'full/9e412fe0c83b8674b160b9494e28953ab8866531.csv', 'checksum': 'aebad1138da2bf391ec104e6aea1910b', 'url': 'https://transcal.s3.amazonaws.com/public/export/baldwin-park-2012.csv'}]",Download Baldwin Park payroll data for 2012,Baldwin Park,https://transcal.s3.amazonaws.com/public/export/baldwin-park-2012.csv
2016,"[{'path': 'full/d052bc1d1fc7fe2bcc54bfb8334508830c2cc687.csv', 'checksum': '243a04dd597a8931970d0ac406463c72', 'url': 'https://transcal.s3.amazonaws.com/public/export/baldwin-park-2016.csv'}]",Download Baldwin Park payroll data for 2016,Baldwin Park,https://transcal.s3.amazonaws.com/public/export/baldwin-park-2016.csv
2016,"[{'path': 'full/0b7c729daecf9662c39b68b6db475f7d4de2189c.csv', 'checksum': 'be5a2c1299c9d93925caf41bb91f2a46', 'url': 'https://transcal.s3.amazonaws.com/public/export/atherton-2016.csv'}]",Download Atherton payroll data for 2016,Atherton,https://transcal.s3.amazonaws.com/public/export/atherton-2016.csv
2014,"[{'path': 'full/f19f9ecf1a1b370b171089ac6c404ccb0949aad6.csv', 'checksum': '391a3287faf2bc9a159fc7eadca1553f', 'url': 'https://transcal.s3.amazonaws.com/public/export/atherton-2014.csv'}]",Download Atherton payroll data for 2014,Atherton,https://transcal.s3.amazonaws.com/public/export/atherton-2014.csv
2013,"[{'path': 'full/4b8402476fb53a7496fe837b818fcbe7b1f06b93.csv', 'checksum': '1a89db70ab841c1e63e983db5d518c73', 'url': 'https://transcal.s3.amazonaws.com/public/export/bakersfield-2013.csv'}]",Download Bakersfield payroll data for 2013,Bakersfield,https://transcal.s3.amazonaws.com/public/export/bakersfield-2013.csv
2015,"[{'path': 'full/06206c1066646e2ac3d4e9c46d4c531ae33de1f2.csv', 'checksum': '7081ce48fac4dd4266d7e9f8aa443de4', 'url': 'https://transcal.s3.amazonaws.com/public/export/bakersfield-2015.csv'}]",Download Bakersfield payroll data for 2015,Bakersfield,https://transcal.s3.amazonaws.com/public/export/bakersfield-2015.csv
2012,"[{'path': 'full/8b754c20015c4122bdd445e42ef29139f50a6105.csv', 'checksum': 'beead325895856c16981c6f5e3456795', 'url': 'https://transcal.s3.amazonaws.com/public/export/bakersfield-2012.csv'}]",Download Bakersfield payroll data for 2012,Bakersfield,https://transcal.s3.amazonaws.com/public/export/bakersfield-2012.csv
2012,"[{'path': 'full/cfe42a86d8806d27a5ed76a8c4a59cf5d40335eb.csv', 'checksum': 'd15f47485851c5a16a41a372877b0ee2', 'url': 'https://transcal.s3.amazonaws.com/public/export/atherton-2012.csv'}]",Download Atherton payroll data for 2012,Atherton,https://transcal.s3.amazonaws.com/public/export/atherton-2012.csv
2015,"[{'path': 'full/9a5b72e919c081b1bc03049960f26de804baa777.csv', 'checksum': 'c4b4558addf9b12359959215da647ccc', 'url': 'https://transcal.s3.amazonaws.com/public/export/atherton-2015.csv'}]",Download Atherton payroll data for 2015,Atherton,https://transcal.s3.amazonaws.com/public/export/atherton-2015.csv
2013,"[{'path': 'full/c5d5b6c740e996db7c4e136340e059d892aabd1f.csv', 'checksum': '587f473998fddca6d59d7e03e2a98d7b', 'url': 'https://transcal.s3.amazonaws.com/public/export/atherton-2013.csv'}]",Download Atherton payroll data for 2013,Atherton,https://transcal.s3.amazonaws.com/public/export/atherton-2013.csv
2011,"[{'path': 'full/9272f36278002e88451840520e3fd854c2849ff2.csv', 'checksum': 'cdeadb4f2a915b2608d4c1b5d5513ab0', 'url': 'https://transcal.s3.amazonaws.com/public/export/atherton-2011.csv'}]",Download Atherton payroll data for 2011,Atherton,https://transcal.s3.amazonaws.com/public/export/atherton-2011.csv
2016,"[{'path': 'full/b26ccd4933e2b178a58bf3e58b19a7a077eaa0b5.csv', 'checksum': '3591670a2e4fd32ee533b374865c826f', 'url': 'https://transcal.s3.amazonaws.com/public/export/bakersfield-2016.csv'}]",Download Bakersfield payroll data for 2016,Bakersfield,https://transcal.s3.amazonaws.com/public/export/bakersfield-2016.csv
2016,"[{'path': 'full/5432cd692e6a831ba7e66e8745df5843ed74ec20.csv', 'checksum': '63e1d13a97ed8054d99ffa4af265caef', 'url': 'https://transcal.s3.amazonaws.com/public/export/avenal-2016.csv'}]",Download Avenal payroll data for 2016,Avenal,https://transcal.s3.amazonaws.com/public/export/avenal-2016.csv
2015,"[{'path': 'full/09e26e5a635d178a111c4c8fb88dec06d61f280c.csv', 'checksum': 'c9a9587d655687298edcd8dabe13dc15', 'url': 'https://transcal.s3.amazonaws.com/public/export/avenal-2015.csv'}]",Download Avenal payroll data for 2015,Avenal,https://transcal.s3.amazonaws.com/public/export/avenal-2015.csv
2012,"[{'path': 'full/cb9f551050d2168419f67e18f7642b209d8a2bef.csv', 'checksum': 'ebac19da996d591ad3b5399a7085f4dd', 'url': 'https://transcal.s3.amazonaws.com/public/export/avenal-2012.csv'}]",Download Avenal payroll data for 2012,Avenal,https://transcal.s3.amazonaws.com/public/export/avenal-2012.csv
2011,"[{'path': 'full/e666a23de1b0adfa7eaa9575986c528d32596910.csv', 'checksum': '78854e1b7ba833d357e7b54d382acdd2', 'url': 'https://transcal.s3.amazonaws.com/public/export/avenal-2011.csv'}]",Download Avenal payroll data for 2011,Avenal,https://transcal.s3.amazonaws.com/public/export/avenal-2011.csv
2016,"[{'path': 'full/dd79cfba843fb8abe00df55f6cb235b5f9e738a3.csv', 'checksum': '04d2de749cc06d55c8c5f2090f38233b', 'url': 'https://transcal.s3.amazonaws.com/public/export/atascadero-2016.csv'}]",Download Atascadero payroll data for 2016,Atascadero,https://transcal.s3.amazonaws.com/public/export/atascadero-2016.csv
2014,"[{'path': 'full/e714a91e1d7dd80b3bf0101723651892859f3732.csv', 'checksum': 'c74d938cad1e74866b431e0789c8a573', 'url': 'https://transcal.s3.amazonaws.com/public/export/avenal-2014.csv'}]",Download Avenal payroll data for 2014,Avenal,https://transcal.s3.amazonaws.com/public/export/avenal-2014.csv
2013,"[{'path': 'full/d3d7efa334881cbb9e408a062b62272fd72aed2c.csv', 'checksum': 'cb0b36d15dfaa6ca1739ca4218d845ab', 'url': 'https://transcal.s3.amazonaws.com/public/export/avenal-2013.csv'}]",Download Avenal payroll data for 2013,Avenal,https://transcal.s3.amazonaws.com/public/export/avenal-2013.csv
2014,"[{'path': 'full/f79c0808e5767e2cb2836cf2f93aa3492704c0c1.csv', 'checksum': '0eebc7680b440c95cc434b98599ee546', 'url': 'https://transcal.s3.amazonaws.com/public/export/atascadero-2014.csv'}]",Download Atascadero payroll data for 2014,Atascadero,https://transcal.s3.amazonaws.com/public/export/atascadero-2014.csv
2013,"[{'path': 'full/1c14c4541f95c1bcf6448812e747092191f72584.csv', 'checksum': '802755bb67ebd38e92a88125a1ada584', 'url': 'https://transcal.s3.amazonaws.com/public/export/atascadero-2013.csv'}]",Download Atascadero payroll data for 2013,Atascadero,https://transcal.s3.amazonaws.com/public/export/atascadero-2013.csv
2015,"[{'path': 'full/4f936b0d24b2d1b8d52f59f59903f385f5c45458.csv', 'checksum': '33a32d54ebfc3751da071678d2f1eb58', 'url': 'https://transcal.s3.amazonaws.com/public/export/atascadero-2015.csv'}]",Download Atascadero payroll data for 2015,Atascadero,https://transcal.s3.amazonaws.com/public/export/atascadero-2015.csv
2014,"[{'path': 'full/198f5e35a8ac946d8773b279ef6b7745686878ea.csv', 'checksum': '4d34b5358fb4bdf739585d2a8ca01415', 'url': 'https://transcal.s3.amazonaws.com/public/export/arvin-2014.csv'}]",Download Arvin payroll data for 2014,Arvin,https://transcal.s3.amazonaws.com/public/export/arvin-2014.csv
